title,genres
Super Mario 3D World + Bowser's Fury,"['Action', 'Platformer', '3D']"
Super Smash Bros. Ultimate: Sephiroth,"['Action', '2D', 'Fighting']"
Fitness Boxing 2: Rhythm & Exercise,"['Miscellaneous', 'Exercise / Fitness']"
Fire Emblem: Shadow Dragon & the Blade of Light,"['Strategy', 'Turn-Based', 'Tactics']"
Hyrule Warriors: Age of Calamity,"['Action', ""Beat-'Em-Up"", '3D']"
Pokemon Sword + Pokemon Sword Expansion Pass,"['Role-Playing', 'Trainer']"
Pokemon Shield + Pokemon Shield Expansion Pass,"['Role-Playing', 'Trainer']"
Pikmin 3 Deluxe,"['Strategy', 'Real-Time', 'General']"
Part Time UFO,"['Action', 'Arcade']"
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - Complete Edition,"['Action', 'Rhythm', 'Music']"
Pokemon Sword / Shield: The Crown Tundra,"['Role-Playing', 'Trainer']"
Mario Kart Live: Home Circuit,"['Racing', 'Arcade', 'Automobile']"
Super Smash Bros. Ultimate: Steve & Alex,"['Action', 'Fighting', '2D']"
Mario Kart 8 Deluxe + Super Mario Party,"['Miscellaneous', 'Compilation']"
Super Mario Bros. 35,"['Action', 'Platformer', '2D']"
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 3 Story Pack: Symphony of the Mask,"['Action', 'Rhythm', 'Music']"
Kirby Fighters 2,"['Action', 'Fighting', '2D']"
Super Mario 3D All-Stars,"['Miscellaneous', 'Compilation']"
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 2 Melody Pack,"['Action', 'Rhythm', 'Music']"
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 1 Character Pack,"['Action', 'Rhythm', 'Music']"
Paper Mario: The Origami King,"['Role-Playing', 'General']"
Super Smash Bros. Ultimate: Min Min,"['Action', 'Fighting', '2D']"
Pokemon Cafe Mix,"['Puzzle', 'Matching']"
Pokemon Sword / Shield: The Isle of Armor,"['Role-Playing', 'Trainer']"
Jump Rope Challenge,"['Action', 'General']"
Clubhouse Games: 51 Worldwide Classics,"['Miscellaneous', 'Party / Minigame']"
Xenoblade Chronicles: Definitive Edition,"['Role-Playing', 'Action RPG']"
Arcade Archives: Vs. Wrecking Crew,"['Action', 'Platformer', '2D']"
Marvel Ultimate Alliance 3: The Black Order - Expansion 3 - Fantastic Four: Shadow of Doom,"['Role-Playing', 'Action RPG']"
Good Job!,"['Action', 'General']"
Animal Crossing: New Horizons,"['Simulation', 'Virtual', 'Virtual Life']"
